theta_deg,ptx_sat_dbm,slant_km,fspl_db,gt_dbi,perdida_atm_db,I_teorico_dbm,I_SHARC_P619_dbm,IN_db,INI_db,CI_db,CNI_db
40,34,755.489,148.98,18.75,0.0465,-103.23,-103.277,-4.277,-5.655,38.247,32.592
40,31,755.489,148.98,18.75,0.0465,-106.23,-106.277,-7.277,-8.022,41.247,33.225
40,28,755.489,148.98,18.75,0.0465,-109.23,-109.277,-10.277,-10.666,44.247,33.581
40,25,755.489,148.98,18.75,0.0465,-112.23,-112.277,-13.277,-13.476,47.247,33.770
40,22,755.489,148.98,18.75,0.0465,-115.23,-115.277,-16.277,-16.378,50.247,33.869
40,19,755.489,148.98,18.75,0.0465,-118.23,-118.277,-19.277,-19.328,53.247,33.919
40,16,755.489,148.98,18.75,0.0465,-121.23,-121.277,-22.277,-22.302,56.247,33.944
40,13,755.489,148.98,18.75,0.0465,-124.23,-124.277,-25.277,-25.29,59.247,33.957
40,10,755.489,148.98,18.75,0.0465,-127.23,-127.277,-28.277,-28.283,62.247,33.964
40,7,755.489,148.98,18.75,0.0465,-130.23,-130.277,-31.277,-31.28,65.247,33.967
40,4,755.489,148.98,18.75,0.0465,-133.23,-133.277,-34.277,-34.278,68.247,33.968
40,1,755.489,148.98,18.75,0.0465,-136.23,-136.277,-37.277,-37.278,71.247,33.969
50,43,649.223,147.664,15.0,0.039,-96.664,-96.703,2.297,-2.012,31.673,29.661
50,40,649.223,147.664,15.0,0.039,-99.664,-99.703,-0.703,-3.376,34.673,31.297
50,37,649.223,147.664,15.0,0.039,-102.664,-102.703,-3.703,-5.245,37.673,32.428
50,34,649.223,147.664,15.0,0.039,-105.664,-105.703,-6.703,-7.544,40.673,33.129
50,31,649.223,147.664,15.0,0.039,-108.664,-108.703,-9.703,-10.145,43.673,33.528
50,28,649.223,147.664,15.0,0.039,-111.664,-111.703,-12.703,-12.93,46.673,33.743
50,25,649.223,147.664,15.0,0.039,-114.664,-114.703,-15.703,-15.818,49.673,33.855
50,22,649.223,147.664,15.0,0.039,-117.664,-117.703,-18.703,-18.761,52.673,33.912
50,19,649.223,147.664,15.0,0.039,-120.664,-120.703,-21.703,-21.732,55.673,33.941
50,16,649.223,147.664,15.0,0.039,-123.664,-123.703,-24.703,-24.717,58.673,33.955
50,13,649.223,147.664,15.0,0.039,-126.664,-126.703,-27.703,-27.71,61.673,33.963
50,10,649.223,147.664,15.0,0.039,-129.664,-129.703,-30.703,-30.706,64.673,33.966
50,7,649.223,147.664,15.0,0.039,-132.664,-132.703,-33.703,-33.705,67.673,33.968
50,4,649.223,147.664,15.0,0.039,-135.664,-135.703,-36.703,-36.704,70.673,33.969
50,1,649.223,147.664,15.0,0.039,-138.664,-138.703,-39.703,-39.703,73.673,33.970
60,43,581.794,146.711,11.25,0.0345,-99.461,-99.496,-0.496,-3.265,34.466,31.201
60,40,581.794,146.711,11.25,0.0345,-102.461,-102.496,-3.496,-5.101,37.466,32.365
60,37,581.794,146.711,11.25,0.0345,-105.461,-105.496,-6.496,-7.374,40.466,33.092
60,34,581.794,146.711,11.25,0.0345,-108.461,-108.496,-9.496,-9.958,43.466,33.508
60,31,581.794,146.711,11.25,0.0345,-111.461,-111.496,-12.496,-12.734,46.466,33.732
60,28,581.794,146.711,11.25,0.0345,-114.461,-114.496,-15.496,-15.617,49.466,33.849
60,25,581.794,146.711,11.25,0.0345,-117.461,-117.496,-18.496,-18.557,52.466,33.909
60,22,581.794,146.711,11.25,0.0345,-120.461,-120.496,-21.496,-21.526,55.466,33.939
60,19,581.794,146.711,11.25,0.0345,-123.461,-123.496,-24.496,-24.511,58.466,33.955
60,16,581.794,146.711,11.25,0.0345,-126.461,-126.496,-27.496,-27.503,61.466,33.962
60,13,581.794,146.711,11.25,0.0345,-129.461,-129.496,-30.496,-30.5,64.466,33.966
60,10,581.794,146.711,11.25,0.0345,-132.461,-132.496,-33.496,-33.498,67.466,33.968
60,7,581.794,146.711,11.25,0.0345,-135.461,-135.496,-36.496,-36.497,70.466,33.969
